primary_student_id,student_id,date_added,ordinal_position
11006107,11006107,20090708,2
11006110,11006110,20090723,1
11006111,11006111,20090723,1
11006129,11006129,20071020,1
11005500,11006135,20090826,2
11006153,11006153,20090919,1
11006180,11006180,20081218,1
11006199,11006199,20091208,1
11006204,11006204,20060923,1
11006252,11006252,20100119,2
11006258,11006258,20100126,1
11006268,11006268,20090507,1
11006285,11006285,20100322,1
11006286,11006286,20100322,2
11006310,11006310,20100410,2
11006335,11006335,20080922,1
11005535,11006342,20080606,1
11006360,11006360,20100607,2
11006366,11006366,20100616,1
11006285,11006382,20100707,1
11006388,11006388,20100708,1
11006413,11006413,20091128,1
11006454,11006454,20100831,1
11006456,11006456,20100901,1
11006468,11006468,20100907,1
11006485,11006485,20100923,1
11006490,11006490,20100925,1
11006507,11006507,20101014,1
11006515,11006515,20101020,1
11006519,11006519,20030827,1
11006523,11006523,19940523,1
11006537,11006537,20101129,1
11006538,11006538,20101129,1
11006549,11006549,20101216,1
11006561,11006561,20090110,1
11006564,11006564,20110103,1
11006575,11006575,20110118,1
11006584,11006584,20110117,1
11006593,11006593,20110120,1
11006613,11006613,20100406,1
11006615,11006615,20110127,1
11006636,11006636,20090507,2
11006643,11006643,20110303,1
11006654,11006654,20140214,1
11006660,11006660,20140214,1
11006666,11006666,20110319,1
11006666,11006667,20110319,2
11006674,11006674,20110321,1
11006675,11006675,20110322,1
11005445,11006682,20081211,1
11006700,11006700,20101223,3
11006705,11006705,20110411,1
11006710,11006710,20110409,1
11006718,11006718,20110413,1
11006060,11006734,20110426,3
11006507,11006745,20110505,2
11006747,11006747,20110507,2
11006666,11006755,20110512,3
11006756,11006756,20100313,1
11006756,11006757,20100313,2
11006763,11006763,20110514,1
11006769,11006769,20110518,1
11006776,11006776,20110525,1
11006785,11006785,20110604,3
11006815,11006815,20110629,1
11006831,11006831,20110718,1
11006832,11006832,20110719,1
11006883,11006883,20110901,1
11006894,11006894,20110913,1
11006895,11006895,20110913,2
11006901,11006901,20110917,1
11006909,11006909,20110924,1
11006921,11006921,20120119,1
11006924,11006924,20111010,2
11006951,11006951,20080116,1
11006956,11006956,20111101,1
11006958,11006958,20111103,2
