contract_id,charge_id,income_type,amount,due_date,description,is_voided
1100689523,11006895231000,1,  191.00,20130305,TUITION,0
1100689523,11006895231100,1,  191.00,20130405,TUITION,0
1100689523,11006895231200,1,  191.00,20130505,TUITION,0
1100689523,11006895231300,1,  191.00,20130605,TUITION,0
1100689523,11006895231400,1,  191.00,20130705,TUITION,0
1100689523,11006895231500,1,  191.00,20130805,TUITION,0
1100689523,11006895231600,1,  191.00,20130905,TUITION,0
1100689523,11006895231700,1,  191.00,20131005,TUITION,0
1100689523,11006895231800,1,  191.00,20131105,TUITION,0
1100689523,11006895231900,1,  191.00,20131205,TUITION,0
1100689523,11006895232000,1,  191.00,20140105,TUITION,0
1100689523,11006895232100,1,  191.00,20140205,TUITION,0
1100690923,11006909231000,1,  796.67,20131001,TUITION,0
1100690923,11006909231100,1,  797.00,20131130,TUITION,0
1100690923,11006909231200,1,  796.33,20131230,TUITION,0
1100692123,11006921231000,1, 2390.00,20130120,TUITION,0
1100692421,11006924211000,1, 1590.00,20130723,TUITION,0
1100695623,11006956231000,1,  239.00,20131105,TUITION,0
1100695623,11006956231100,1,  239.00,20131205,TUITION,0
1100695623,11006956231200,1,  239.00,20140105,TUITION,0
1100695623,11006956231300,1,  239.00,20140205,TUITION,0
1100695623,11006956231400,1,  239.00,20140305,TUITION,0
1100695623,11006956231500,1,  239.00,20140405,TUITION,0
1100695623,11006956231600,1,  239.00,20140505,TUITION,0
1100695623,11006956231700,1,  239.00,20140605,TUITION,0
1100695623,11006956231800,1,  239.00,20140705,TUITION,0
1100695623,11006956231900,1,  239.00,20140805,TUITION,0
1100695623,11006956232000,1,  239.00,20140905,TUITION,0
1100695623,11006956232100,1,  239.00,20141005,TUITION,0
1100695823,11006958231000,1,  191.00,20131105,TUITION,0
1100695823,11006958231100,1,  191.00,20131205,TUITION,0
1100695823,11006958231200,1,  191.00,20140105,TUITION,0
1100695823,11006958231300,1,  191.00,20140205,TUITION,0
1100695823,11006958231400,1,  191.00,20140305,TUITION,0
1100695823,11006958231500,1,  191.00,20140405,TUITION,0
1100695823,11006958231600,1,  191.00,20140505,TUITION,0
1100695823,11006958231700,1,  191.00,20140605,TUITION,0
1100695823,11006958231800,1,  191.00,20140705,TUITION,0
1100695823,11006958231900,1,  191.00,20140805,TUITION,0
1100695823,11006958232000,1,  191.00,20140905,TUITION,0
